Producto_ID,Producto_Nombre,Categoria,Fecha_Venta,Monto_Venta,Cliente_ID,Cliente_Nombre,Cliente_Email,Incorrect_Data_Type,Total_Monto_Venta,Monto_Venta_Binned
1,Producto A,Categoría 1,2023-01-01,100.0,101,Carlos,carlos@gmail.com,101,3353.0,Low
2,Producto B,Categoría 2,2023-01-02,150.0,102,Maria,maria@hotmail.com,102,3297.0,Low
3,Producto C,Categoría 1,2023-01-03,200.0,103,Jose,jose@yahoo.com,103,3082.0,Low
4,Producto D,Categoría 3,2023-01-04,250.0,104,Ana,ana@gmail.com,104,3957.0,Medium
5,Producto E,Categoría 2,2023-01-05,300.0,105,Juan,juan@hotmail.com,105,3745.0,Medium
6,producto F,Categoría 1,2023-01-06,,106,Luis,luis@yahoo.com,106,3312.0,
7,Producto G,Categoría 3,2023-01-07,,107,Gabriela,gabriela@gmail.com,107,2875.0,
8,Producto H,,2023-01-08,,108,Elena,elena@hotmail.com,108,3055.0,
9,Producto I,Categoría 1,2023-01-09,,109,Miguel,miguel@gmailcom,109,2634.0,
10,Producto J,Categoría 3,2023-01-10,,110,Rosa,rosa@gmail.com,110,3480.0,
1,Producto A,Categoría 1,2023-01-01,,101,Carlos,,101,3353.0,
2,Producto B,Categoría 2,2023-01-02,150.0,102,Maria,maria@hotmail.com,102,3297.0,Low
2,Producto B,Categoría 2,2023-01-12,305.0,102,Patricia,patricia@example.com,102,3297.0,Medium
3,Producto C,Categoría 1,2023-01-13,115.0,103,Lorena,lorena@example.com,103,3082.0,Low
4,Producto D,Categoría 1,2023-01-14,477.0,104,Sergio,sergio@example.com,104,3957.0,High
5,Producto E,Categoría 1,2023-01-15,305.0,105,Claudia,,105,3745.0,Medium
6,producto F,Categoría 3,2023-01-16,167.0,106,Ricardo,,106,3312.0,Low
7,Producto G,Categoría 1,2023-01-17,567.0,107,Diana,,107,2875.0,High
8,Producto H,Categoría 2,2023-01-18,433.0,108,Eduardo,,108,3055.0,High
9,Producto I,Categoría 3,2023-01-19,106.0,109,Veronica,,109,2634.0,Low
10,Producto J,Categoría 3,2023-01-20,351.0,110,Fernando,,110,3480.0,Medium
1,Producto A,Categoría 1,2023-01-21,527.0,101,Roberto,roberto@example.com,101,3353.0,High
2,Producto B,Categoría 1,2023-01-22,371.0,102,Patricia,patricia@example.com,102,3297.0,Medium
3,Producto C,Categoría 2,2023-01-23,133.0,103,Lorena,lorena@example.com,103,3082.0,Low
4,Producto D,Categoría 3,2023-01-24,297.0,104,Sergio,sergio@example.com,104,3957.0,Medium
5,Producto E,Categoría 1,2023-01-25,455.0,105,  Roberto  ,claudia@example.com,105,3745.0,High
6,producto F,Categoría 3,2023-01-26,295.0,106,Ricardo,ricardo@example.com,106,3312.0,Medium
7,Producto G,Categoría 1,2023-01-27,211.0,107,Diana,diana@example.com,107,2875.0,Medium
8,Producto H,Categoría 2,2023-01-28,206.0,108,Eduardo,eduardo@example.com,108,3055.0,Medium
9,Producto I,Categoría 2,2023-01-29,344.0,109,Veronica,veronica@example.com,109,2634.0,Medium
10,Producto J,Categoría 1,2023-01-30,421.0,110,Fernando,fernando@example.com,110,3480.0,High
1,Producto A,Categoría 3,2023-01-31,509.0,101,Roberto,roberto@example.com,101,3353.0,High
2,Producto B,Categoría 3,2023-02-01,584.0,102,Patricia,patricia@example.com,102,3297.0,High
3,Producto C,Categoría 2,2023-02-02,564.0,103,Lorena,lorena@example.com,103,3082.0,High
4,Producto D,Categoría 2,2023-02-03,230.0,104,Sergio,sergio@example.com,104,3957.0,Medium
5,producto M,Categoría 2,2023-02-04,375.0,105,Claudia,claudia@example.com,105,3745.0,Medium
6,producto F,Categoría 1,2023-02-05,360.0,106,Ricardo,ricardo@example.com,106,3312.0,Medium
7,Producto G,Categoría 3,2023-02-06,322.0,107,Diana,diana@example.com,107,2875.0,Medium
8,Producto H,Categoría 1,2023-02-07,130.0,108,Eduardo,eduardo@example.com,108,3055.0,Low
9,Producto I,Categoría 3,2023-02-08,200.0,109,Veronica,veronica@example.com,109,2634.0,Low
10,Producto J,Categoría 2,2023-02-09,202.0,110,Fernando,fernando@example.com,110,3480.0,Medium
1,Producto A,Categoría 1,2023-02-10,104.0,101,Roberto,roberto@example.com,101,3353.0,Low
2,Producto B,Categoría 2,2023-02-11,256.0,102,Patricia,patricia@example.com,102,3297.0,Medium
3,Producto C,Categoría 1,2023-02-12,420.0,103,Lorena,lorena@example.com,103,3082.0,High
4,Producto D,Categoría 1,2023-02-13,532.0,104,Sergio,sergio@example.com,104,3957.0,High
